epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1475,2.11704,6.80342,2.84396,0.00403,0.66667,0.10838,0.02971,1.84137,4.87228,2.82029,0.000175,0.000175,0.000175
2,34.0009,1.65029,5.26539,2.1873,0.00942,1,0.41458,0.19176,1.61614,4.0965,2.16415,0.000358911,0.000358911,0.000358911
3,47.0793,1.63335,4.8476,2.05972,0.00682,1,0.77389,0.316,1.86971,4.19487,2.32603,0.00053911,0.00053911,0.00053911
4,60.5431,1.517,4.27417,1.92878,0.7896,0.33333,0.995,0.58061,1.44161,3.54691,1.92318,0.000715596,0.000715596,0.000715596
5,74.7964,1.66991,4.42427,2.04404,0.62859,1,0.995,0.53142,1.66907,3.13212,2.40096,0.00088837,0.00088837,0.00088837
6,89.14,1.44807,4.03151,1.87501,0.87164,1,0.995,0.57558,1.51497,2.63699,2.1142,0.00105743,0.00105743,0.00105743
7,102.723,1.45837,3.9615,1.86484,0.62008,1,0.995,0.61353,1.34026,2.39961,1.93484,0.00117575,0.00117575,0.00117575
8,116.02,1.41693,3.63188,1.7734,0.53025,1,0.995,0.59691,1.45426,2.37271,2.02836,0.00116337,0.00116337,0.00116337
9,128.902,1.40518,3.61014,1.77027,0.53805,0.83333,0.93944,0.54364,1.68434,3.7163,2.20558,0.001151,0.001151,0.001151
10,142.188,1.40419,3.437,1.7898,0.63407,1,0.995,0.50407,1.54815,2.27181,2.06803,0.00113863,0.00113863,0.00113863
11,155.745,1.48921,3.48238,1.89519,0.77167,1,0.995,0.62003,1.40869,1.782,1.98289,0.00112625,0.00112625,0.00112625
12,169.933,1.36224,3.06044,1.71852,0.74678,1,0.995,0.48321,1.65879,1.89194,2.16324,0.00111388,0.00111388,0.00111388
13,184.141,1.44947,3.27831,1.78193,0.78373,1,0.995,0.53482,1.29963,2.20352,1.84829,0.0011015,0.0011015,0.0011015
14,198.5,1.44313,2.94802,1.82378,0.79945,1,0.82917,0.42522,1.51516,2.83749,1.87439,0.00108913,0.00108913,0.00108913
15,212.978,1.34365,2.74126,1.6676,0.64117,1,0.995,0.67986,1.43129,1.67504,1.82303,0.00107675,0.00107675,0.00107675
16,226.794,1.37125,2.91284,1.73345,0.74053,1,0.995,0.64669,1.31301,1.70021,1.69541,0.00106437,0.00106437,0.00106437
17,241.003,1.38754,2.50338,1.67076,0.77053,1,0.995,0.71545,1.29026,2.01518,1.67295,0.001052,0.001052,0.001052
18,255.267,1.2972,2.4073,1.67042,0.94256,0.92063,0.995,0.82906,0.93961,1.43286,1.43153,0.00103962,0.00103962,0.00103962
19,267.792,1.32402,2.59275,1.63602,0.69466,1,0.995,0.6964,1.21431,2.09744,1.59183,0.00102725,0.00102725,0.00102725
20,283.373,1.25377,2.45752,1.63153,0.87411,1,0.995,0.62183,1.27394,1.60674,1.77922,0.00101488,0.00101488,0.00101488
21,298.256,1.30607,2.34621,1.6491,0.76523,1,0.995,0.58074,1.46152,1.54474,1.97751,0.0010025,0.0010025,0.0010025
22,313.204,1.36994,2.20681,1.66476,0.81654,1,0.995,0.49744,1.73299,1.67573,2.19819,0.000990125,0.000990125,0.000990125
23,328.202,1.24548,2.13706,1.5943,0.73742,1,0.995,0.56393,1.64991,1.37499,1.98732,0.00097775,0.00097775,0.00097775
